,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_weight_decay,system_attrs_grid_id,system_attrs_search_space,state
10,10,21.255248572993906,2025-11-22 02:55:48.371974,2025-11-22 02:58:19.900477,0 days 00:02:31.528503,0.001,roberta-base,0.005,10,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
11,11,21.71443184630934,2025-11-22 02:58:19.900908,2025-11-22 02:59:36.671162,0 days 00:01:16.770254,0.0005,distilbert-base-uncased,0.01,11,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
12,12,10.750573464914458,2025-11-22 02:59:36.671533,2025-11-22 03:03:38.890882,0 days 00:04:02.219349,0.0001,bert-base-uncased,0.0,12,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
13,13,15.803783065479598,2025-11-22 03:03:38.891248,2025-11-22 03:05:47.309656,0 days 00:02:08.418408,1e-05,bert-base-uncased,0.0,13,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
14,14,21.254960513759286,2025-11-22 03:05:47.310009,2025-11-22 03:08:00.779900,0 days 00:02:13.469891,0.001,roberta-base,0.01,14,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
15,15,21.191307422328624,2025-11-22 03:08:00.780228,2025-11-22 03:10:17.973984,0 days 00:02:17.193756,0.0005,bert-base-cased,0.005,15,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
16,16,21.61523989074293,2025-11-22 03:10:17.974359,2025-11-22 03:11:42.350650,0 days 00:01:24.376291,0.0005,distilbert-base-uncased,0.0,16,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
17,17,7.823769757388276,2025-11-22 03:11:42.350993,2025-11-22 03:14:48.314246,0 days 00:03:05.963253,5e-05,distilbert-base-uncased,0.01,17,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
18,18,16.655034470029758,2025-11-22 03:14:48.314698,2025-11-22 03:17:21.998288,0 days 00:02:33.683590,5e-06,bert-base-cased,0.01,18,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
19,19,8.845909190552426,2025-11-22 03:17:21.998649,2025-11-22 03:20:11.513960,0 days 00:02:49.515311,0.0001,distilbert-base-cased,0.0,19,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
20,20,21.190761411357556,2025-11-22 03:20:11.514314,2025-11-22 03:22:43.532899,0 days 00:02:32.018585,0.0005,roberta-base,0.005,20,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
21,21,21.255592227626476,2025-11-22 03:22:43.533263,2025-11-22 03:24:36.599142,0 days 00:01:53.065879,0.001,roberta-base,0.0,21,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
22,22,15.551042921646847,2025-11-22 03:24:36.599524,2025-11-22 03:26:33.269750,0 days 00:01:56.670226,1e-05,bert-base-cased,0.005,22,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
23,23,10.837333601261722,2025-11-22 03:26:33.270104,2025-11-22 03:29:29.367563,0 days 00:02:56.097459,5e-05,bert-base-uncased,0.0,23,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
24,24,17.004253330815466,2025-11-22 03:29:29.367906,2025-11-22 03:31:10.085790,0 days 00:01:40.717884,5e-06,bert-base-uncased,0.01,24,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
25,25,11.791416956562433,2025-11-22 03:31:10.086129,2025-11-22 03:32:04.998042,0 days 00:00:54.911913,5e-05,distilbert-base-uncased,0.0,25,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
26,26,12.307515639445512,2025-11-22 03:32:04.999794,2025-11-22 03:33:56.345841,0 days 00:01:51.346047,1e-05,distilbert-base-cased,0.005,26,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
27,27,17.01810386096302,2025-11-22 03:33:56.346179,2025-11-22 03:35:42.899402,0 days 00:01:46.553223,5e-06,bert-base-uncased,0.005,27,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
28,28,16.683874146509797,2025-11-22 03:35:42.899759,2025-11-22 03:37:34.359721,0 days 00:01:51.459962,5e-06,roberta-base,0.005,28,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
29,29,21.262147197414073,2025-11-22 03:37:34.360229,2025-11-22 03:39:20.341109,0 days 00:01:45.980880,0.001,bert-base-uncased,0.0,29,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
30,30,15.55058593426866,2025-11-22 03:39:20.341482,2025-11-22 03:41:14.172953,0 days 00:01:53.831471,1e-05,bert-base-cased,0.01,30,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
31,31,16.65343919624004,2025-11-22 03:41:14.173543,2025-11-22 03:43:09.817517,0 days 00:01:55.643974,5e-06,bert-base-cased,0.0,31,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
32,32,21.661552407909067,2025-11-22 03:43:09.818132,2025-11-22 03:44:12.477818,0 days 00:01:02.659686,0.0005,distilbert-base-cased,0.0,32,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
33,33,21.190311237025888,2025-11-22 03:44:12.478170,2025-11-22 03:45:59.978833,0 days 00:01:47.500663,0.0005,bert-base-uncased,0.0,33,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
34,34,13.039575786495465,2025-11-22 03:45:59.979242,2025-11-22 03:47:46.851529,0 days 00:01:46.872287,5e-05,bert-base-uncased,0.01,34,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
35,35,14.578996824257658,2025-11-22 03:47:46.851875,2025-11-22 03:49:34.319624,0 days 00:01:47.467749,5e-05,roberta-base,0.0,35,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
36,36,12.306205155058997,2025-11-22 03:49:34.320027,2025-11-22 03:51:21.215608,0 days 00:01:46.895581,1e-05,distilbert-base-cased,0.01,36,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
37,37,8.432934745596839,2025-11-22 03:51:21.215987,2025-11-22 03:53:18.843784,0 days 00:01:57.627797,5e-05,distilbert-base-cased,0.01,37,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
38,38,8.409714941607904,2025-11-22 03:53:18.844106,2025-11-22 03:55:09.388460,0 days 00:01:50.544354,5e-05,distilbert-base-uncased,0.005,38,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
39,39,21.26273728149,2025-11-22 03:55:09.388779,2025-11-22 03:56:51.470374,0 days 00:01:42.081595,0.001,bert-base-uncased,0.005,39,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
40,40,21.192021190333996,2025-11-22 03:56:51.470699,2025-11-22 03:58:38.279676,0 days 00:01:46.808977,0.0005,bert-base-cased,0.0,40,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
41,41,21.17948979346815,2025-11-22 03:58:38.280012,2025-11-22 04:00:25.593320,0 days 00:01:47.313308,0.0005,bert-base-cased,0.01,41,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
42,42,11.942216631580028,2025-11-22 04:00:25.593676,2025-11-22 04:01:21.474487,0 days 00:00:55.880811,0.0001,distilbert-base-uncased,0.005,42,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
43,43,21.304328902888926,2025-11-22 04:01:21.474817,2025-11-22 04:03:07.148756,0 days 00:01:45.673939,0.0001,roberta-base,0.01,43,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
44,44,21.26177165572706,2025-11-22 04:03:07.149139,2025-11-22 04:04:48.933586,0 days 00:01:41.784447,0.001,bert-base-uncased,0.01,44,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
45,45,16.696549635160597,2025-11-22 04:04:48.933926,2025-11-22 04:06:33.677872,0 days 00:01:44.743946,5e-06,roberta-base,0.0,45,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
46,46,15.867557182008284,2025-11-22 04:06:33.678205,2025-11-22 04:08:18.966693,0 days 00:01:45.288488,1e-05,roberta-base,0.01,46,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
47,47,21.263897397685678,2025-11-22 04:08:18.967047,2025-11-22 04:10:05.879707,0 days 00:01:46.912660,0.001,bert-base-cased,0.0,47,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
48,48,7.344148300576955,2025-11-22 04:10:05.880036,2025-11-22 04:15:57.715103,0 days 00:05:51.835067,0.0001,bert-base-uncased,0.005,48,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
49,49,21.65102414100233,2025-11-22 04:15:57.715437,2025-11-22 04:16:57.045261,0 days 00:00:59.329824,0.0005,distilbert-base-cased,0.005,49,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
50,50,21.795242120433482,2025-11-22 04:16:57.045586,2025-11-22 04:17:53.020100,0 days 00:00:55.974514,0.001,distilbert-base-uncased,0.01,50,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
51,51,13.407377101827297,2025-11-22 04:17:53.020430,2025-11-22 04:19:35.057515,0 days 00:01:42.037085,0.0001,bert-base-uncased,0.01,51,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
52,52,21.190443530727062,2025-11-22 04:19:35.057837,2025-11-22 04:21:20.372331,0 days 00:01:45.314494,0.0005,roberta-base,0.01,52,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
53,53,14.518073022294674,2025-11-22 04:21:20.372679,2025-11-22 04:23:05.720908,0 days 00:01:45.348229,5e-05,roberta-base,0.005,53,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
54,54,21.837245158839856,2025-11-22 04:23:05.721236,2025-11-22 04:24:01.697958,0 days 00:00:55.976722,0.001,distilbert-base-uncased,0.005,54,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
55,55,12.884028223752859,2025-11-22 04:24:01.698290,2025-11-22 04:25:49.327605,0 days 00:01:47.629315,0.0001,bert-base-cased,0.005,55,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
56,56,15.5506133876479,2025-11-22 04:25:49.327932,2025-11-22 04:27:36.052150,0 days 00:01:46.724218,1e-05,bert-base-cased,0.0,56,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
57,57,5.754852724483237,2025-11-22 04:27:36.052499,2025-11-22 04:30:57.981583,0 days 00:03:21.929084,5e-05,distilbert-base-cased,0.0,57,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
58,58,12.405581446179887,2025-11-22 04:30:57.981918,2025-11-22 04:32:34.760086,0 days 00:01:36.778168,1e-05,distilbert-base-uncased,0.01,58,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
59,59,21.26387019317213,2025-11-22 04:32:34.760405,2025-11-22 04:34:22.372231,0 days 00:01:47.611826,0.001,bert-base-cased,0.005,59,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
60,60,7.942008684922009,2025-11-22 04:34:22.372583,2025-11-22 04:40:33.199172,0 days 00:06:10.826589,0.0001,bert-base-cased,0.01,60,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
61,61,16.644956365462743,2025-11-22 04:40:33.199507,2025-11-22 04:42:20.912024,0 days 00:01:47.712517,5e-06,bert-base-cased,0.005,61,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
62,62,21.762800546336802,2025-11-22 04:42:20.912357,2025-11-22 04:43:19.997209,0 days 00:00:59.084852,0.001,distilbert-base-cased,0.01,62,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
63,63,15.16136096819979,2025-11-22 04:43:19.997525,2025-11-22 04:44:56.763643,0 days 00:01:36.766118,5e-06,distilbert-base-uncased,0.005,63,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
64,64,21.16267334144178,2025-11-22 04:44:56.763962,2025-11-22 04:46:38.662230,0 days 00:01:41.898268,0.0005,bert-base-uncased,0.005,64,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
