number,value,datetime_start,datetime_complete,duration,params_dropout,params_embedding_dim,params_learning_rate,params_lstm_units,params_rnn_units,user_attrs_val_mae,state
11,9.058784484863281,2025-11-20 00:02:02.352146,2025-11-20 00:02:48.662896,0 days 00:00:46.310750,0.34839329042661626,128,0.0022407123928440157,64,17,9.058784484863281,COMPLETE
12,9.692910194396973,2025-11-20 00:02:48.663265,2025-11-20 00:03:15.746669,0 days 00:00:27.083404,0.36690881439855705,128,0.002295836606773635,64,16,9.692910194396973,COMPLETE
13,18.790485382080078,2025-11-20 00:03:15.747030,2025-11-20 00:03:21.816484,0 days 00:00:06.069454,0.3649461645956511,128,0.0005959206131645767,64,16,18.790485382080078,COMPLETE
14,8.479048728942871,2025-11-20 00:03:21.816884,2025-11-20 00:04:10.383471,0 days 00:00:48.566587,0.3132482856156553,128,0.002423722637787874,64,52,8.479048728942871,COMPLETE
15,12.336747169494629,2025-11-20 00:04:10.383936,2025-11-20 00:04:29.144953,0 days 00:00:18.761017,0.31628998740814734,128,0.009256005557739148,64,58,12.336747169494629,COMPLETE
16,8.321803092956543,2025-11-20 00:04:29.145320,2025-11-20 00:05:29.504637,0 days 00:01:00.359317,0.39795851254952364,64,0.002386288713709964,64,47,8.321803092956543,COMPLETE
17,11.34378719329834,2025-11-20 00:05:29.505005,2025-11-20 00:06:13.874209,0 days 00:00:44.369204,0.39135649656083116,64,0.0005569330816549287,64,45,11.34378719329834,COMPLETE
18,9.152591705322266,2025-11-20 00:06:13.874548,2025-11-20 00:06:49.550689,0 days 00:00:35.676141,0.24908041702550837,64,0.003036032262967421,32,59,9.152591705322266,COMPLETE
19,18.803586959838867,2025-11-20 00:06:49.551038,2025-11-20 00:07:00.753312,0 days 00:00:11.202274,0.20329675677313144,64,0.001264426208722784,16,121,18.803586959838867,COMPLETE
20,18.782480239868164,2025-11-20 00:07:00.753663,2025-11-20 00:07:17.791686,0 days 00:00:17.038023,0.4053492840272995,64,0.00010220690547060632,64,70,18.782480239868164,COMPLETE
21,8.51149845123291,2025-11-20 00:07:17.792057,2025-11-20 00:08:18.194120,0 days 00:01:00.402063,0.34334772201167213,128,0.0018903119299432587,64,44,8.51149845123291,COMPLETE
22,9.83977222442627,2025-11-20 00:08:18.194486,2025-11-20 00:08:43.558433,0 days 00:00:25.363947,0.31058626298422926,128,0.0030105661980981044,64,47,9.83977222442627,COMPLETE
23,9.698273658752441,2025-11-20 00:08:43.558825,2025-11-20 00:09:19.829353,0 days 00:00:36.270528,0.32702639811531636,64,0.001713672909145818,64,35,9.698273658752441,COMPLETE
24,10.79444694519043,2025-11-20 00:09:19.829708,2025-11-20 00:09:57.976875,0 days 00:00:38.147167,0.40033773487522784,128,0.000784679075735405,64,55,10.79444694519043,COMPLETE
25,9.235695838928223,2025-11-20 00:09:57.977233,2025-11-20 00:10:44.057898,0 days 00:00:46.080665,0.27024656528566193,64,0.0016577266016083762,64,43,9.235695838928223,COMPLETE
26,11.060948371887207,2025-11-20 00:10:44.058311,2025-11-20 00:11:10.629893,0 days 00:00:26.571582,0.37880297076713376,128,0.008214000743018339,64,27,11.060948371887207,COMPLETE
27,9.412291526794434,2025-11-20 00:11:10.630248,2025-11-20 00:11:51.120272,0 days 00:00:40.490024,0.33609816072508625,128,0.003580440836423135,64,69,9.412291526794434,COMPLETE
28,8.535937309265137,2025-11-20 00:11:51.120651,2025-11-20 00:12:46.846078,0 days 00:00:55.725427,0.4182611788035248,256,0.0013627624063634015,32,62,8.535937309265137,COMPLETE
29,18.799697875976562,2025-11-20 00:12:46.846436,2025-11-20 00:12:55.358815,0 days 00:00:08.512379,0.2995058318085883,64,0.0018563740090378421,16,90,18.799697875976562,COMPLETE
